epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 301.406 49.8711 41.9543 -1
0 0.0145122 -1 0.069686 0.0159844 0.0704514 0.856041 0.919869 132.985 301.828 50.6308 44.0172 0.425327
1 0.00151164 -1 0.241503 0.0385438 0.242008 0.874944 0.916162 133.021 301.729 49.052 46.978 0.504455
2 0.000232919 -1 0.294504 0.0418055 0.294331 0.884257 0.917024 132.911 301.791 49.6962 45.2663 0.499369
3 0.000169382 -1 0.336181 0.0426146 0.336189 0.892093 0.917983 132.829 301.869 50.1429 43.7081 0.490671
4 0.000146216 -1 0.37346 0.0437816 0.373794 0.899004 0.918845 132.755 301.94 50.5506 42.2732 0.480897
5 0.000128016 -1 0.407535 0.0453443 0.408197 0.905174 0.919598 132.695 302.008 50.9372 40.9486 0.471896
6 0.000112721 -1 0.438845 0.0468277 0.439773 0.910722 0.920245 132.648 302.072 51.2997 39.7216 0.463927
7 9.98283e-05 -1 0.467647 0.0483262 0.468846 0.915719 0.920786 132.605 302.127 51.6462 38.5831 0.456151
8 8.88819e-05 -1 0.493536 0.0499117 0.494951 0.92018 0.921295 132.569 302.18 51.949 37.5387 0.448539
9 7.94972e-05 -1 0.51765 0.0517845 0.519267 0.924234 0.924234 132.537 302.227 52.2515 36.5642 0.441533
10 7.15312e-05 -1 0.539529 0.0533226 0.541333 0.927901 0.927901 132.511 302.271 52.5195 35.661 0.434794
11 6.461e-05 -1 0.559581 0.0546036 0.561516 0.93124 0.93124 132.491 302.313 52.7609 34.8195 0.428592
12 5.86056e-05 -1 0.57826 0.0561188 0.580334 0.934299 0.934299 132.476 302.354 53.0006 34.0316 0.423191
13 5.33739e-05 -1 0.595482 0.057656 0.597655 0.93709 0.93709 132.461 302.389 53.2255 33.2958 0.417779
14 4.88217e-05 -1 0.61133 0.0590971 0.613604 0.939646 0.939646 132.446 302.42 53.4334 32.6075 0.412346
15 4.47942e-05 -1 0.626073 0.0603289 0.628434 0.942013 0.942013 132.437 302.452 53.6281 31.9579 0.407685
16 4.127e-05 -1 0.639688 0.0617337 0.642118 0.94418 0.94418 132.428 302.48 53.8123 31.3511 0.402929
17 3.81251e-05 -1 0.65251 0.0628044 0.655008 0.946212 0.946212 132.422 302.507 53.9885 30.7721 0.398943
18 3.53584e-05 -1 0.66434 0.0640177 0.666892 0.948077 0.948077 132.415 302.531 54.153 30.2304 0.394741
19 3.28736e-05 -1 0.675336 0.0651088 0.677939 0.94981 0.94981 132.41 302.554 54.3045 29.7185 0.390807
20 3.06534e-05 -1 0.685578 0.06615 0.688212 0.951417 0.951417 132.404 302.574 54.4461 29.2353 0.386873
21 2.86786e-05 -1 0.695219 0.0671612 0.697886 0.952925 0.952925 132.402 302.595 54.5829 28.7756 0.383451
