epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
0 0.0194594 -1 0.370769 0.500343 0.380136 0.99211 0.998619 5.70903 17.1986 0.764285 0.361956 0.860432
100 0.00186964 -1 0.585586 0.191015 0.976564 0.998703 0.999197 9.82169 19.0314 0.415158 0.305071 0.982557
200 0.0003721 -1 0.654874 0.155077 0.981384 0.999159 0.999654 10.9198 19.7701 0.342865 0.21367 1.00135
300 0.000273601 -1 0.671478 0.12686 0.981635 0.999222 0.999722 11.092 19.9195 0.332682 0.192777 1.00053
400 0.000255048 -1 0.67658 0.0960941 0.981519 0.999234 0.999738 11.1189 19.9619 0.330537 0.187214 0.996762
500 0.000243202 -1 0.678021 0.065009 0.981423 0.999238 0.999739 11.1407 19.9761 0.32913 0.186195 0.992512
600 0.000232727 -1 0.67755 0.0349509 0.98112 0.999227 0.999737 11.1547 19.9792 0.330406 0.186493 0.987643
700 0.000222987 -1 0.676225 0.00524205 0.981074 0.999229 0.999731 11.1577 19.9811 0.328426 0.187657 0.983843
800 0.000214016 -1 0.674077 0.0234595 0.980974 0.999228 0.999725 11.1402 19.9824 0.326809 0.188872 0.98014
900 0.000205366 -1 0.671255 0.0515523 0.980945 0.999231 0.999717 11.1212 19.9843 0.324119 0.190173 0.977035
1000 0.000197138 -1 0.667683 0.0783882 0.980757 0.999226 0.999709 11.1072 19.987 0.323118 0.191051 0.973511
1100 0.000189136 -1 0.663566 0.104372 0.980581 0.999223 0.999701 11.0959 19.992 0.321778 0.191616 0.969849
1200 0.000181519 -1 0.658779 0.130487 0.980589 0.999228 0.99969 11.0791 19.9969 0.318514 0.192326 0.967611
1300 0.000173938 -1 0.65342 0.155508 0.980528 0.999229 0.99968 11.0675 20.0039 0.316174 0.192406 0.964849
1400 0.000166751 -1 0.647316 0.180038 0.980449 0.99923 0.999668 11.0565 20.0114 0.314333 0.192113 0.962457
1500 0.000159764 -1 0.640565 0.20469 0.980543 0.999237 0.999654 11.0399 20.018 0.311368 0.191609 0.961183
1600 0.000152984 -1 0.633217 0.227671 0.980461 0.999236 0.999641 11.0336 20.0277 0.310583 0.190208 0.958711
1700 0.000146204 -1 0.625278 0.251079 0.9806 0.999243 0.999626 11.0189 20.0355 0.308509 0.188514 0.95782
1800 0.000139789 -1 0.616667 0.27273 0.98054 0.999243 0.99964 11.0147 20.0459 0.308698 0.186167 0.95567
1900 0.000133513 -1 0.607468 0.293973 0.980561 0.999244 0.999664 11.0087 20.0561 0.308787 0.183401 0.954054
2000 0.000127391 -1 0.597739 0.314963 0.98069 0.999249 0.999688 10.9992 20.0653 0.308692 0.180216 0.953247
2100 0.000121477 -1 0.58744 0.334945 0.980814 0.999253 0.999711 10.9917 20.0747 0.30914 0.176731 0.95239
2200 0.000115866 -1 0.576497 0.354089 0.980913 0.999254 0.999731 10.9851 20.0836 0.310227 0.173079 0.951642
2300 0.000110441 -1 0.565292 0.372187 0.981066 0.999258 0.99975 10.9806 20.0938 0.31117 0.169095 0.950937
2400 0.000105189 -1 0.553405 0.389898 0.981244 0.999261 0.999769 10.9721 20.1015 0.312521 0.165054 0.950937
2500 0.000100229 -1 0.541177 0.405994 0.981373 0.999263 0.999784 10.9696 20.1111 0.314073 0.16109 0.950319
2600 9.54214e-05 -1 0.528687 0.421427 0.981567 0.999267 0.9998 10.9652 20.1199 0.315491 0.156939 0.950341
2700 9.09246e-05 -1 0.515765 0.435526 0.981714 0.999268 0.999813 10.9638 20.1292 0.317162 0.153004 0.950046
2800 8.661e-05 -1 0.502644 0.448584 0.981868 0.999271 0.999826 10.9638 20.1389 0.318818 0.149067 0.949866
2900 8.25712e-05 -1 0.489305 0.460737 0.982037 0.999273 0.999837 10.9636 20.1482 0.320436 0.145201 0.949868
3000 7.87469e-05 -1 0.475676 0.47226 0.982216 0.999275 0.999848 10.9613 20.1561 0.322235 0.141384 0.950327
3100 7.50821e-05 -1 0.462015 0.482473 0.98239 0.999277 0.999857 10.9615 20.1647 0.323843 0.137733 0.950671
3200 7.17091e-05 -1 0.448427 0.491071 0.982527 0.999279 0.999866 10.9673 20.1755 0.325211 0.134321 0.950426
3300 6.84923e-05 -1 0.434673 0.499395 0.982693 0.999281 0.999874 10.9689 20.1841 0.326757 0.130915 0.950912
3400 6.54979e-05 -1 0.420939 0.506802 0.982852 0.999283 0.999881 10.9711 20.1927 0.328291 0.127621 0.951394
3500 6.26914e-05 -1 0.407316 0.513293 0.983013 0.999285 0.999888 10.9742 20.2014 0.329703 0.124435 0.951976
3600 6.00696e-05 -1 0.393856 0.518661 0.983151 0.999287 0.999894 10.98 20.2111 0.330989 0.121428 0.952296
