epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
0 0.0011698 -1 0.384398 0.0563193 0.996926 0.959011 0.959011 6.28481 245.061 7.39678 1.42285 0.370758
1 0.000295389 -1 0.426899 0.0617934 0.997514 0.960007 0.960007 4.74499 245.008 6.01598 1.06996 0.292094
2 0.000253474 -1 0.4472 0.0657179 0.997743 0.960243 0.960243 4.1328 244.993 5.44775 0.934559 0.245714
3 0.000238425 -1 0.459492 0.0688792 0.997868 0.960222 0.960222 3.7965 244.986 5.13665 0.862425 0.212862
4 0.000230924 -1 0.467728 0.0715317 0.997946 0.960083 0.960083 3.58561 244.982 4.94581 0.818626 0.187798
5 0.000226563 -1 0.473588 0.0737924 0.997998 0.959888 0.959888 3.44397 244.979 4.82145 0.790183 0.167803
6 0.000223787 -1 0.477948 0.0757474 0.998034 0.959662 0.959662 3.34434 244.978 4.73722 0.770943 0.151337
7 0.000221824 -1 0.481271 0.0774342 0.99806 0.959424 0.959424 3.27341 244.977 4.6799 0.757861 0.137563
8 0.000220463 -1 0.483838 0.078886 0.998079 0.959179 0.959179 3.22339 244.976 4.64166 0.749224 0.12591
9 0.000219442 -1 0.485839 0.0801277 0.998093 0.958938 0.958938 3.18901 244.975 4.61726 0.743835 0.115968
10 0.00021863 -1 0.48742 0.0811865 0.998103 0.958699 0.958699 3.16649 244.975 4.60291 0.74089 0.107389
11 0.000218058 -1 0.488658 0.0820703 0.99811 0.958465 0.958465 3.15404 244.975 4.59657 0.739993 0.0999894
12 0.000217491 -1 0.489616 0.0827957 0.998114 0.958235 0.958235 3.1501 244.975 4.59684 0.740828 0.0935827
13 0.000216828 -1 0.490355 0.0833773 0.998115 0.958007 0.958007 3.15315 244.975 4.60206 0.74308 0.0879899
14 0.000216551 -1 0.490943 0.0838477 0.998116 0.957779 0.957779 3.16147 244.975 4.61071 0.746396 0.0829411
15 0.000216123 -1 0.491355 0.0841829 0.998114 0.957553 0.957553 3.176 244.975 4.62343 0.750973 0.0785646
16 0.000215866 -1 0.491631 0.0844022 0.99811 0.957325 0.957325 3.19577 244.975 4.63931 0.756619 0.0746936
17 0.000215573 -1 0.49181 0.0845257 0.998105 0.957093 0.957093 3.21978 244.975 4.65743 0.763145 0.0711782
18 0.00021533 -1 0.49187 0.0845326 0.998099 0.956855 0.956855 3.24898 244.975 4.67835 0.770736 0.0680624
19 0.000215104 -1 0.491834 0.08444 0.998091 0.956609 0.956609 3.28286 244.975 4.70171 0.779316 0.0652654
20 0.000214823 -1 0.491721 0.0842617 0.998081 0.956351 0.956351 3.32088 244.976 4.72704 0.788789 0.0626603
21 0.000214456 -1 0.491523 0.0839878 0.998069 0.956081 0.956081 3.36363 244.976 4.75463 0.799256 0.0602798
22 0.000214192 -1 0.491256 0.083631 0.998056 0.955792 0.955792 3.41079 244.976 4.78414 0.810688 0.0580051
23 0.000213909 -1 0.490928 0.0832025 0.998041 0.955484 0.955484 3.46214 244.977 4.81545 0.82304 0.0557741
24 0.000213686 -1 0.49052 0.0826798 0.998024 0.955149 0.955149 3.51887 244.977 4.84917 0.836583 0.0536733
25 0.000213301 -1 0.490042 0.0820764 0.998004 0.954784 0.954784 3.58073 244.977 4.88514 0.851268 0.0515744
