epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 292.911 15.7867 13.9232 -1
0 0.000521497 -1 0.181515 0.0394453 0.974095 0.997915 0.997915 183.407 357.018 14.9988 8.04989 0.950467
1 0.000128941 -1 0.215845 0.039692 0.971486 0.99781 0.99781 177.734 352.797 14.5127 7.99584 0.946999
2 7.99233e-05 -1 0.2364 0.0389021 0.965258 0.997535 0.997535 171.6 347.432 13.9073 8.18617 0.942162
3 5.50574e-05 -1 0.2521 0.0384021 0.958616 0.997345 0.997345 166.115 342.605 13.2918 8.20265 0.937359
4 4.04658e-05 -1 0.265425 0.0379977 0.950736 0.997153 0.997419 161.67 338.609 12.7533 8.21019 0.933012
5 3.11554e-05 -1 0.276973 0.03826 0.942959 0.997023 0.997582 158.126 335.37 12.3102 8.12947 0.92865
6 2.49788e-05 -1 0.286996 0.0383863 0.934029 0.996899 0.997724 154.969 332.63 11.9405 8.04405 0.925292
7 2.05755e-05 -1 0.295644 0.0387903 0.923946 0.996745 0.997832 152.441 330.307 11.6503 8.00605 0.922761
8 1.73042e-05 -1 0.303657 0.0390958 0.914493 0.99664 0.997929 150.381 328.389 11.4258 7.91231 0.919968
9 1.48508e-05 -1 0.310545 0.0391452 0.903444 0.996545 0.998008 148.275 326.672 11.2207 7.83238 0.917429
10 1.28787e-05 -1 0.316722 0.0392827 0.893056 0.99646 0.998078 146.693 325.19 11.0727 7.73563 0.915406
11 1.13356e-05 -1 0.322439 0.0393617 0.881669 0.996387 0.998139 145.146 323.916 10.9517 7.64226 0.913563
12 1.00886e-05 -1 0.327407 0.0395571 0.869728 0.996302 0.998193 143.837 322.762 10.8692 7.55455 0.911744
13 9.0464e-06 -1 0.331857 0.0396898 0.85785 0.996221 0.998239 142.724 321.712 10.8072 7.46902 0.910379
14 8.19404e-06 -1 0.336019 0.039849 0.844667 0.99614 0.998276 141.612 320.788 10.756 7.40115 0.908906
15 7.43631e-06 -1 0.339841 0.0398735 0.833461 0.996095 0.998312 140.727 319.962 10.7078 7.31448 0.907611
16 6.81803e-06 -1 0.343233 0.0401401 0.820367 0.996026 0.998343 139.849 319.202 10.683 7.24685 0.906534
17 6.25979e-06 -1 0.346393 0.0401161 0.806467 0.995955 0.998363 139.006 318.511 10.6605 7.20001 0.905435
18 5.7968e-06 -1 0.349341 0.0404029 0.792871 0.995917 0.998387 138.187 317.899 10.6295 7.14025 0.904515
19 5.39068e-06 -1 0.35184 0.0405734 0.780497 0.995859 0.998413 137.599 317.299 10.6335 7.06995 0.903794
20 5.01685e-06 -1 0.35439 0.0407762 0.768395 0.995814 0.998434 137.035 316.768 10.6295 7.01092 0.90294
21 4.68471e-06 -1 0.356832 0.0407632 0.756602 0.995802 0.998454 136.449 316.289 10.6037 6.95345 0.902087
22 4.40036e-06 -1 0.358955 0.0410098 0.743234 0.995739 0.998468 135.941 315.828 10.6184 6.9125 0.901358
23 4.14881e-06 -1 0.361 0.0411717 0.729663 0.995698 0.998481 135.412 315.412 10.6195 6.87327 0.90073
24 3.912e-06 -1 0.362729 0.0414037 0.71634 0.995635 0.998491 134.979 315.007 10.6401 6.8411 0.900203
25 3.70033e-06 -1 0.364595 0.0415559 0.704919 0.995638 0.99851 134.522 314.655 10.6223 6.78727 0.899611
26 3.51147e-06 -1 0.366281 0.0416212 0.692135 0.995606 0.998519 134.099 314.314 10.6248 6.75552 0.899019
27 3.33743e-06 -1 0.36771 0.0418067 0.680746 0.995554 0.998528 133.793 313.989 10.6501 6.72491 0.898564
28 3.17631e-06 -1 0.369253 0.0419626 0.669333 0.995542 0.998539 133.423 313.705 10.645 6.69188 0.898102
29 3.03154e-06 -1 0.37061 0.0421885 0.657091 0.995501 0.998547 133.093 313.43 10.6637 6.66554 0.897726
30 2.89891e-06 -1 0.371945 0.042344 0.645731 0.995481 0.998557 132.772 313.17 10.6699 6.63412 0.897168
31 2.77678e-06 -1 0.373225 0.0424705 0.636716 0.995467 0.998565 132.527 312.922 10.674 6.60384 0.89678
32 2.66461e-06 -1 0.374414 0.0426327 0.624339 0.995439 0.998572 132.207 312.696 10.6858 6.5822 0.896455
33 2.55391e-06 -1 0.375499 0.0428593 0.613169 0.995408 0.998578 131.941 312.48 10.702 6.56205 0.896037
34 2.45779e-06 -1 0.376556 0.0429866 0.60647 0.995401 0.998587 131.776 312.274 10.7089 6.53083 0.895775
35 2.36947e-06 -1 0.377589 0.0430762 0.595798 0.995371 0.998591 131.535 312.078 10.7249 6.51536 0.895359
36 2.28297e-06 -1 0.378514 0.0432632 0.584782 0.995347 0.998597 131.282 311.898 10.7386 6.496 0.895156
37 2.20387e-06 -1 0.379461 0.043401 0.577451 0.995333 0.998603 131.121 311.726 10.7502 6.47485 0.894786
38 2.12955e-06 -1 0.380369 0.0435769 0.568432 0.995311 0.998609 130.928 311.568 10.7655 6.45634 0.894521
39 2.06356e-06 -1 0.381222 0.0437509 0.560615 0.995299 0.998616 130.758 311.418 10.7779 6.43372 0.894194
40 1.99461e-06 -1 0.382051 0.043831 0.55148 0.995273 0.998618 130.575 311.272 10.7937 6.42493 0.893972
41 1.93426e-06 -1 0.382826 0.0440314 0.543471 0.995265 0.998626 130.4 311.141 10.8046 6.40035 0.893714
42 1.87521e-06 -1 0.383613 0.0440702 0.53756 0.995258 0.998629 130.273 311.015 10.8115 6.38661 0.893452
43 1.82087e-06 -1 0.3843 0.0442802 0.531485 0.995238 0.998634 130.163 310.894 10.8305 6.36971 0.893228
44 1.77051e-06 -1 0.385036 0.0443814 0.523292 0.995232 0.998639 129.986 310.786 10.8365 6.3558 0.892993
45 1.72206e-06 -1 0.385685 0.0445601 0.518452 0.995209 0.998642 129.909 310.676 10.8588 6.34191 0.892808
46 1.67334e-06 -1 0.386332 0.0446228 0.511377 0.995188 0.998645 129.78 310.571 10.8757 6.33318 0.892533
47 1.63203e-06 -1 0.386896 0.0448391 0.504076 0.995167 0.99865 129.65 310.474 10.8975 6.31646 0.892239
48 1.5924e-06 -1 0.387519 0.0448305 0.49866 0.995161 0.998654 129.541 310.378 10.9058 6.30431 0.892056
49 1.55192e-06 -1 0.388105 0.0449743 0.494448 0.995149 0.998657 129.467 310.291 10.9198 6.29333 0.891925
50 1.51562e-06 -1 0.388706 0.0450591 0.48932 0.995146 0.998661 129.362 310.209 10.9279 6.27793 0.891718
51 1.48055e-06 -1 0.389212 0.0452002 0.485409 0.99513 0.998663 129.299 310.128 10.9442 6.27018 0.891564
52 1.44781e-06 -1 0.389773 0.045305 0.481569 0.995127 0.998668 129.223 310.054 10.9555 6.25331 0.891387
53 1.41286e-06 -1 0.390242 0.0454043 0.47319 0.995117 0.998673 129.062 309.988 10.9665 6.24201 0.891154
54 1.3855e-06 -1 0.390766 0.0455031 0.471297 0.995116 0.998678 129.024 309.922 10.977 6.2255 0.891059
55 1.35378e-06 -1 0.391199 0.0456493 0.466408 0.995085 0.998678 128.96 309.857 11.0031 6.22297 0.8909
56 1.32685e-06 -1 0.391702 0.0457043 0.462388 0.995086 0.998683 128.877 309.799 11.0107 6.20876 0.890674
57 1.29986e-06 -1 0.392139 0.0458701 0.46014 0.99507 0.998685 128.849 309.743 11.0299 6.19986 0.890547
58 1.27386e-06 -1 0.392574 0.045875 0.456929 0.995072 0.998688 128.78 309.686 11.034 6.19035 0.890354
59 1.24879e-06 -1 0.392948 0.0460075 0.451952 0.995054 0.998693 128.701 309.635 11.0549 6.17812 0.890208
60 1.22724e-06 -1 0.393371 0.0460302 0.448349 0.995045 0.998694 128.638 309.585 11.0668 6.1728 0.890005
61 1.20463e-06 -1 0.393776 0.046181 0.44599 0.995036 0.998698 128.601 309.542 11.0823 6.16085 0.889919
62 1.18311e-06 -1 0.394151 0.0463265 0.443785 0.995032 0.998701 128.56 309.502 11.093 6.15185 0.889784
63 1.16251e-06 -1 0.394629 0.0464013 0.441635 0.995039 0.998705 128.508 309.465 11.0974 6.13821 0.889625
64 1.14254e-06 -1 0.394908 0.046489 0.440591 0.995025 0.998707 128.501 309.42 11.1149 6.13154 0.889553
65 1.12295e-06 -1 0.395361 0.0465178 0.439064 0.995027 0.998708 128.465 309.387 11.1202 6.12463 0.88939
